,Comparison.Concession,Comparison.Contrast,Contingency.Cause,Contingency.Condition,Expansion,Expansion.Alternative,Expansion.Conjunction,Expansion.Instantiation,Expansion.Restatement,Missing,Temporal.Asynchronous,Temporal.Synchrony
Comparison.Concession,0,0,0,0,0,0,1,0,0,5,1,0
Comparison.Contrast,0,3,2,3,0,0,2,0,0,44,4,2
Contingency.Cause,1,7,29,10,0,1,10,0,0,109,9,3
Contingency.Condition,1,4,10,12,0,0,4,0,0,79,4,2
Expansion,0,0,0,1,0,0,0,0,0,0,0,0
Expansion.Alternative,0,0,0,0,0,0,2,0,0,10,0,0
Expansion.Conjunction,0,0,4,7,0,0,4,0,0,69,3,6
Expansion.Instantiation,0,0,0,0,0,0,0,0,0,1,0,1
Expansion.Restatement,1,0,0,0,0,0,0,0,0,3,0,0
Missing,2,35,92,77,0,6,57,1,0,777,65,39
Temporal.Asynchronous,1,3,8,7,0,2,3,0,0,77,4,3
Temporal.Synchrony,0,1,5,7,0,1,2,0,0,32,3,1
